iter	Passed	Remaining
0	144	143995
1	145	72586
2	146	48726
3	148	36866
4	149	29758
5	150	24954
6	151	21527
7	152	18961
8	154	17060
9	156	15450
10	156	14110
11	157	12987
12	158	12034
13	159	11223
14	160	10519
15	161	9901
16	161	9358
17	162	8879
18	163	8448
19	164	8060
20	165	7709
21	166	7389
22	167	7096
23	168	6834
24	168	6585
25	169	6358
26	170	6147
27	171	5949
28	172	5766
29	173	5597
30	173	5437
31	174	5288
32	175	5150
33	176	5016
34	177	4891
35	178	4772
36	178	4657
37	179	4553
38	180	4452
39	181	4356
40	182	4264
41	183	4177
42	183	4093
43	184	4013
44	185	3936
45	186	3863
46	187	3793
47	187	3725
48	188	3661
49	189	3599
50	190	3539
51	191	3482
52	191	3427
53	192	3374
54	193	3323
55	194	3279
56	195	3233
57	196	3187
58	197	3144
59	198	3103
60	198	3062
61	199	3021
62	200	2982
63	201	2944
64	202	2907
65	202	2871
66	203	2836
67	204	2797
68	204	2764
69	205	2732
70	206	2701
71	207	2671
72	208	2642
73	208	2613
74	209	2587
75	210	2560
76	211	2535
77	212	2509
78	213	2484
79	213	2459
80	214	2436
81	215	2413
82	216	2390
83	217	2368
84	217	2343
85	218	2323
86	219	2300
87	219	2279
88	220	2259
89	221	2240
90	222	2221
91	223	2203
92	224	2185
93	224	2167
94	225	2149
95	226	2132
96	227	2114
97	227	2097
98	228	2081
99	229	2064
100	230	2049
101	230	2031
102	231	2016
103	232	2001
104	233	1986
105	233	1972
106	234	1958
107	235	1944
108	236	1930
109	236	1917
110	237	1904
111	238	1891
112	239	1878
113	240	1865
114	240	1853
115	241	1840
116	242	1828
117	243	1816
118	243	1804
119	244	1793
120	245	1781
121	246	1771
122	246	1757
123	247	1747
124	248	1736
125	248	1726
126	249	1716
127	250	1704
128	250	1694
129	251	1685
130	252	1676
131	253	1667
132	254	1657
133	255	1648
134	255	1639
135	256	1630
136	257	1621
137	258	1612
138	258	1603
139	259	1594
140	260	1586
141	261	1578
142	261	1569
143	262	1561
144	263	1554
145	264	1546
146	265	1538
147	265	1531
148	266	1523
149	267	1516
150	268	1509
151	269	1502
152	270	1495
153	270	1487
154	271	1480
155	272	1473
156	273	1466
157	273	1459
158	274	1452
159	275	1446
160	276	1439
161	276	1432
162	277	1425
163	278	1419
164	279	1412
165	279	1406
166	280	1400
167	281	1394
168	282	1388
169	283	1382
170	283	1376
171	284	1370
172	285	1364
173	286	1358
174	286	1352
175	287	1346
176	288	1341
177	289	1335
178	289	1329
179	290	1324
180	291	1317
181	291	1311
182	292	1306
183	293	1300
184	294	1295
185	294	1290
186	295	1285
187	296	1280
188	297	1275
189	298	1270
190	298	1265
191	299	1260
192	300	1255
193	301	1250
194	301	1245
195	302	1240
196	303	1236
197	303	1231
198	304	1226
199	305	1221
200	306	1217
201	306	1212
202	307	1208
203	308	1203
204	309	1200
205	310	1195
206	310	1191
207	311	1186
208	312	1182
209	313	1178
210	314	1174
211	314	1170
212	315	1165
213	316	1161
214	317	1157
215	317	1153
216	318	1149
217	319	1145
218	320	1141
219	320	1138
220	321	1134
221	322	1130
222	323	1126
223	324	1122
224	324	1118
225	325	1114
226	326	1111
227	327	1108
228	328	1105
229	328	1101
230	329	1097
231	330	1094
232	331	1090
233	332	1087
234	332	1083
235	333	1079
236	334	1076
237	335	1072
238	335	1069
239	336	1065
240	337	1062
241	338	1058
242	338	1055
243	339	1052
244	340	1048
245	341	1045
246	341	1042
247	342	1039
248	343	1035
249	344	1032
250	344	1029
251	345	1025
252	346	1022
253	347	1019
254	347	1016
255	348	1013
256	349	1010
257	350	1006
258	350	1003
259	351	1000
260	352	997
261	353	994
262	353	991
263	354	988
264	355	985
265	356	982
266	356	979
267	357	976
268	358	973
269	359	970
270	359	967
271	360	965
272	361	962
273	362	959
274	362	956
275	363	953
276	364	951
277	365	948
278	366	945
279	366	943
280	367	941
281	368	939
282	369	936
283	370	934
284	371	931
285	372	928
286	372	926
287	373	923
288	374	921
289	375	918
290	375	915
291	376	913
292	377	910
293	378	908
294	379	905
295	379	903
296	380	901
297	381	898
298	382	896
299	383	894
300	383	891
301	384	889
302	385	886
303	386	884
304	387	882
305	387	879
306	388	877
307	389	875
308	390	872
309	391	870
310	392	868
311	392	866
312	393	864
313	394	862
314	395	859
315	396	857
316	396	855
317	397	853
318	398	850
319	399	848
320	400	846
321	400	844
322	401	842
323	402	839
324	403	837
325	404	835
326	404	833
327	405	831
328	406	829
329	408	828
330	409	826
331	409	824
332	410	822
333	411	820
334	412	818
335	413	817
336	414	814
337	415	812
338	415	810
339	416	808
340	417	806
341	418	804
342	418	802
343	419	800
344	420	797
345	421	795
346	421	793
347	422	791
348	423	789
